system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
47,Shrub and scrub,0.27,842,351.18,29.37,0.88,1858.72,1.84,0.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.26323713215535,-14.822202187972104]}"
48,Trees,0.4,477,572.55,28.43,2.66,1855.59,31.41,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73796639394818,-13.923886903852582]}"
49,Crops,0.34,575,395.73,30.85,2.05,1864.71,26.47,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-13.923886903852582]}"
50,Crops,0.32,568,387.36,31.54,1.79,1865.7,18.31,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94133582570913,-13.923886903852582]}"
51,Crops,0.35,448,470.91,30.64,2.28,1864.17,7.8,0.62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.04302054158961,-13.923886903852582]}"
52,Crops,0.3,386,401.82,31.17,2.2,1865.18,5.22,0.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14470525747009,-13.923886903852582]}"
53,Crops,0.33,458,460.27,31.9,1.94,1863.67,0.75,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.24638997335057,-13.923886903852582]}"
54,Trees,0.36,483,536.0,31.07,2.28,1854.4,0.35,0.68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.34807468923105,-13.923886903852582]}"
55,Bare,0.31,414,349.27,31.44,1.92,1860.47,0.37,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.44975940511153,-13.923886903852582]}"
56,Crops,0.3,378,278.45,33.38,1.47,1859.64,0.44,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.551444120992,-13.923886903852582]}"
57,Grass,0.31,300,254.27,32.08,1.55,1856.31,0.39,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.65312883687248,-13.923886903852582]}"
58,Trees,0.32,253,321.55,31.96,1.63,1856.37,0.87,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.754813552752964,-13.923886903852582]}"
59,Shrub and scrub,0.31,343,302.73,33.74,1.29,1858.75,0.51,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.85649826863344,-13.923886903852582]}"
60,Trees,0.32,477,252.45,32.56,1.4,1855.65,0.7,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.95818298451392,-13.923886903852582]}"
61,Shrub and scrub,0.3,625,287.55,29.46,1.85,1845.78,1.27,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.0598677003944,-13.923886903852582]}"
62,Trees,0.3,899,305.64,30.05,1.41,1860.99,1.09,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.16155241627487,-13.923886903852582]}"
63,Trees,0.26,856,327.09,31.87,1.07,1864.82,1.38,0.47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.26323713215535,-13.923886903852582]}"
64,Trees,0.45,545,685.82,26.9,3.68,1840.01,27.11,0.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73796639394818,-13.02557161973306]}"
65,Trees,0.35,483,445.55,29.81,2.93,1858.85,21.3,0.63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-13.02557161973306]}"
66,Crops,0.35,458,481.36,29.93,2.76,1861.43,12.61,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94133582570913,-13.02557161973306]}"
67,Trees,0.38,348,587.55,29.63,2.82,1857.17,6.89,0.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.04302054158961,-13.02557161973306]}"
68,Trees,0.37,361,517.27,31.37,2.31,1872.11,2.98,0.66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14470525747009,-13.02557161973306]}"
69,Crops,0.32,429,427.45,31.43,2.43,1873.15,0.48,0.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.24638997335057,-13.02557161973306]}"
70,Trees,0.36,399,590.45,30.11,3.11,1855.44,0.35,0.65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.34807468923105,-13.02557161973306]}"
71,Trees,0.39,379,619.45,29.29,3.45,1857.1,0.57,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.44975940511153,-13.02557161973306]}"
72,Trees,0.34,362,423.09,32.4,2.16,1857.17,0.52,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.551444120992,-13.02557161973306]}"
73,Grass,0.3,355,274.82,33.0,1.65,1855.73,0.52,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.65312883687248,-13.02557161973306]}"
74,Trees,0.31,222,282.82,32.54,1.39,1851.95,0.63,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.754813552752964,-13.02557161973306]}"
75,Shrub and scrub,0.3,308,321.0,34.04,1.31,1856.08,1.15,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.85649826863344,-13.02557161973306]}"
