system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
37,Built,0.35,42,347.73,25.51,2.41,0.0,42.08,0.63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.596001825148958,52.43915471047707]}"
38,Trees,0.35,45,391.27,25.51,2.41,0.0,42.08,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.604984977990153,52.43915471047707]}"
39,Built,0.41,50,0.0,25.84,2.35,1866.21,36.84,0.65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.263625170024735,52.448137863318266]}"
40,Built,0.37,51,0.0,25.84,2.35,1867.08,36.84,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.272608322865931,52.448137863318266]}"
41,Built,0.35,53,0.0,25.84,2.35,1867.11,36.84,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.281591475707126,52.448137863318266]}"
42,Built,0.35,54,0.0,25.84,2.35,1867.24,36.84,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.29057462854832,52.448137863318266]}"
43,Built,0.3,50,0.0,26.54,1.79,1867.24,36.84,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.299557781389517,52.448137863318266]}"
44,Built,0.33,52,0.0,26.54,1.79,1867.41,36.84,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.308540934230711,52.448137863318266]}"
45,Built,0.34,47,0.0,26.54,1.79,1867.32,36.84,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.317524087071908,52.448137863318266]}"
46,Built,0.35,42,0.0,26.54,1.79,1867.27,36.84,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.326507239913102,52.448137863318266]}"
47,Built,0.35,43,0.0,26.54,1.79,1867.45,36.84,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.335490392754297,52.448137863318266]}"
